0	0
0.01	0.0035577
0.02	0.0069038
0.03	0.01005
0.04	0.013006
0.05	0.015785
0.06	0.018394
0.07	0.020846
0.08	0.023149
0.09	0.025312
0.1	0.027344
0.11	0.029253
0.12	0.031048
0.13	0.032737
0.14	0.034326
0.15	0.035822
0.16	0.037232
0.17	0.038563
0.18	0.039819
0.19	0.041007
0.2	0.042132
0.21	0.043198
0.22	0.044211
0.23	0.045175
0.24	0.046093
0.25	0.046969
0.26	0.047808
0.27	0.048612
0.28	0.049384
0.29	0.050127
0.3	0.050844
0.31	0.051538
0.32	0.05221
0.33	0.052862
0.34	0.053497
0.35	0.054116
0.36	0.054721
0.37	0.055314
0.38	0.055895
0.39	0.056467
0.4	0.057029
0.41	0.057584
0.42	0.058132
0.43	0.058674
0.44	0.059211
0.45	0.059743
0.46	0.060272
0.47	0.060797
0.48	0.061319
0.49	0.061839
0.5	0.062358
0.51	0.062874
0.52	0.06339
0.53	0.063904
0.54	0.064418
0.55	0.064931
0.56	0.065445
0.57	0.065958
0.58	0.066471
0.59	0.066984
0.6	0.067497
0.61	0.068011
0.62	0.068525
0.63	0.06904
0.64	0.069555
0.65	0.070071
0.66	0.070587
0.67	0.071104
0.68	0.071621
0.69	0.072139
0.7	0.072658
0.71	0.073177
0.72	0.073697
0.73	0.074218
0.74	0.074739
0.75	0.075261
0.76	0.075784
0.77	0.076307
0.78	0.07683
0.79	0.077354
0.8	0.077879
0.81	0.078405
0.82	0.078931
0.83	0.079457
0.84	0.079984
0.85	0.080512
0.86	0.08104
0.87	0.081569
0.88	0.082098
0.89	0.082628
0.9	0.083158
0.91	0.08369
0.92	0.084221
0.93	0.084754
0.94	0.085287
0.95	0.085821
0.96	0.086355
0.97	0.08689
0.98	0.087426
0.99	0.087963
1	0.088501
