0	0	2.494737082
0.01	0.01	2.512707007
0.02	0.02	2.530676932
0.03	0.03	2.548646857
0.04	0.04	2.566616781
0.05	0.05	2.584586706
0.06	0.06	2.602556631
0.07	0.07	2.620526556
0.08	0.08	2.638496481
0.09	0.09	2.656466406
0.1	0.1	2.67443633
0.11	0.11	2.692406255
0.12	0.12	2.71037618
0.13	0.13	2.728346105
0.14	0.14	2.74631603
0.15	0.15	2.764285954
0.16	0.16	2.782255879
0.17	0.17	2.800225804
0.18	0.18	2.818195729
0.19	0.19	2.836165654
0.2	0.2	2.854135579
0.21	0.21	2.872105503
0.22	0.22	2.890075428
0.23	0.23	2.908045353
0.24	0.24	2.926015278
0.25	0.25	2.943985203
0.26	0.26	2.961955127
0.27	0.27	2.979925052
0.28	0.28	2.997894977
0.29	0.29	3.015864902
0.3	0.3	3.033834827
0.31	0.31	3.051804751
0.32	0.32	3.069774676
0.33	0.33	3.087744601
0.34	0.34	3.105714526
0.35	0.35	3.123684451
0.36	0.36	3.141654376
0.37	0.37	3.1596243
0.38	0.38	3.177594225
0.39	0.39	3.19556415
0.4	0.4	3.213534075
0.41	0.41	3.231504
0.42	0.42	3.249473924
0.43	0.43	3.267443849
0.44	0.44	3.285413774
0.45	0.45	3.303383699
0.46	0.46	3.321353624
0.47	0.47	3.339323549
0.48	0.48	3.357293473
0.49	0.49	3.375263398
0.5	0.5	3.393233323
0.51	0.51	3.411203248
0.52	0.52	3.429173173
0.53	0.53	3.447143097
0.54	0.54	3.465113022
0.55	0.55	3.483082947
0.56	0.56	3.501052872
0.57	0.57	3.519022797
0.58	0.58	3.536992721
0.59	0.59	3.554962646
0.6	0.6	3.572932571
0.61	0.61	3.590902496
0.62	0.62	3.608872421
0.63	0.63	3.626842346
0.64	0.64	3.64481227
0.65	0.65	3.662782195
0.66	0.66	3.68075212
0.67	0.67	3.698722045
0.68	0.68	3.71669197
0.69	0.69	3.734661894
0.7	0.7	3.752631819
0.71	0.71	3.770601744
0.72	0.72	3.788571669
0.73	0.73	3.806541594
0.74	0.74	3.824511519
0.75	0.75	3.842481443
0.76	0.76	3.860451368
0.77	0.77	3.878421293
0.78	0.78	3.896391218
0.79	0.79	3.914361143
0.8	0.8	3.932331067
0.81	0.81	3.950300992
0.82	0.82	3.968270917
0.83	0.83	3.986240842
0.84	0.84	4.004210767
0.85	0.85	4.022180691
0.86	0.86	4.040150616
0.87	0.87	4.058120541
0.88	0.88	4.076090466
0.89	0.89	4.094060391
0.9	0.9	4.112030316
0.91	0.91	4.13000024
0.92	0.92	4.147970165
0.93	0.93	4.16594009
0.94	0.94	4.183910015
0.95	0.95	4.20187994
0.96	0.96	4.219849864
0.97	0.97	4.237819789
0.98	0.98	4.255789714
0.99	0.99	4.273759639
1	1	4.291729564
